facility_type,name,road_address,jibun_address,district,facility_kind,hub_suitability,address,위도,경도,geocode_method,needs_review
lifelong_education,비욘드피티필라테스평생교육원,"대전광역시 유성구 신성남로 57, 3층 (신성동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 신성남로 57, 3층 (신성동)",36.3868707402155,127.350181815777,도로명원본,False
lifelong_education,화수분평생교육원,"대전광역시 유성구 학하서로53번길 6, 102호 (계산동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 학하서로53번길 6, 102호 (계산동)",36.3427543931728,127.299568563106,도로명원본,False
lifelong_education,필라테스정원반석점평생교육원,"대전광역시 유성구 반석로 15, 2층 (반석동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 반석로 15, 2층 (반석동)",36.3914417565775,127.312803266383,도로명원본,False
lifelong_education,리본대전둔산점평생교육원,"대전광역시 서구 둔산남로 108, 4층 (탄방동)",,서구,언론기관부설,rule_include,"대전광역시 서구 둔산남로 108, 4층 (탄방동)",36.3487209481645,127.389483359283,도로명원본,False
lifelong_education,필라테스뮬평생교육원,"대전광역시 서구 구봉로 137, 402호 (관저동)",,서구,언론기관부설,rule_include,"대전광역시 서구 구봉로 137, 402호 (관저동)",36.2966883549791,127.338178896526,도로명원본,False
lifelong_education,카이필라테스평생교육원,"대전광역시 서구 관저로 157, 304호 (관저동, 하이존)",,서구,언론기관부설,rule_include,"대전광역시 서구 관저로 157, 304호 (관저동, 하이존)",36.2993125167428,127.339766893974,도로명원본,False
lifelong_education,(사)한국발전인재개발원평생교육원,"대전광역시 서구 구봉산북로94번길 77 (관저동, 한국발전인재개발원(교육연구시설))",,서구,지식인력개발형태,rule_include,"대전광역시 서구 구봉산북로94번길 77 (관저동, 한국발전인재개발원(교육연구시설))",36.2897045821705,127.330685928375,도로명원본,False
lifelong_education,대덕벤처평생교육원,"대전광역시 유성구 갑천로 361-17, 201호 (탑립동)",,유성구,지식인력개발형태,rule_include,"대전광역시 유성구 갑천로 361-17, 201호 (탑립동)",36.4122937395374,127.414872433821,도로명원본,False
lifelong_education,유즈필라테스대전월평점평생교육원,"대전광역시 서구 청사로123번길11, 6층(월평동)",,서구,언론기관부설,rule_include,"대전광역시 서구 청사로123번길11, 6층(월평동)",36.3603872965625,127.377288199407,도로명원본,False
lifelong_education,대전천문대평생교육원,"대전광역시 유성구 현충원로165, 2층(갑동)",,유성구,지식인력개발형태,rule_include,"대전광역시 유성구 현충원로165, 2층(갑동)",36.3607389719291,127.289788293253,도로명원본,False
lifelong_education,디에스평생교육원,"대전광역시 서구 원도안로179번길23-8, 1층(도안동)",,서구,지식인력개발형태,rule_include,"대전광역시 서구 원도안로179번길23-8, 1층(도안동)",36.319013251882,127.342895820176,도로명원본,False
lifelong_education,은봄필라테스평생교육원,"대전광역시 서구 청사로228, 204호 일부(둔산동, 청사오피스텔)",,서구,언론기관부설,rule_include,"대전광역시 서구 청사로228, 204호 일부(둔산동, 청사오피스텔)",36.3594718847278,127.389090140313,도로명원본,False
lifelong_education,휴먼케어필라테스대전점평생교육원,"대전광역시 서구 문예로69, 5층",,서구,언론기관부설,rule_include,"대전광역시 서구 문예로69, 5층",36.3528972845354,127.38986322741,도로명원본,False
lifelong_education,은봄필라테스갈마점평생교육원,"대전광역시 서구 계룡로500번길 10, 1층 일부",,서구,언론기관부설,rule_include,"대전광역시 서구 계룡로500번길 10, 1층 일부",36.3442533888667,127.379336437291,도로명원본,False
lifelong_education,바디앤솔필라테스 평생교육원,"대전광역시 서구 계백로 900, 706호, 707호, 708호",,서구,언론기관부설,rule_include,"대전광역시 서구 계백로 900, 706호, 707호, 708호",36.2991674787292,127.32473292737,도로명원본,False
lifelong_education,리조트랩요가&필라테스대전점평생교육원,"대전광역시 서구 계룡로 598, 4층 일부",,서구,언론기관부설,rule_include,"대전광역시 서구 계룡로 598, 4층 일부",36.3406861255513,127.389548388967,도로명원본,False
lifelong_education,대전컬컴평생교육원,"대전광역시 서구 둔지로 14 (둔산동), 4층",,서구,언론기관부설,rule_include,"대전광역시 서구 둔지로 14 (둔산동), 4층",36.350897177035,127.376155431833,도로명원본,False
lifelong_education,메트로평생교육원,"대전광역시 서구 계룡로 598 (괴정동), 4층 일부",,서구,언론기관부설,rule_include,"대전광역시 서구 계룡로 598 (괴정동), 4층 일부",36.3406861255513,127.389548388967,도로명원본,False
lifelong_education,바디앤솔필라테스충남대점평생교육원,"대전광역시 유성구 대학로 84, 4층(궁동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 대학로 84, 4층(궁동)",36.3608456743015,127.344703278144,도로명원본,False
lifelong_education,바디앤솔메디필라테스평생교육원,"대전광역시 서구 만년로67번길 22, 5층(만년동)",,서구,언론기관부설,rule_include,"대전광역시 서구 만년로67번길 22, 5층(만년동)",36.368411021483,127.380514480826,도로명원본,False
lifelong_education,바디앤솔필라테스관평점평생교육원,"대전광역시 유성구 테크노중앙로 40, 6층(관평동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 테크노중앙로 40, 6층(관평동)",36.4265943840721,127.389927390249,도로명원본,False
lifelong_education,산림복지종합교육센터평생교육원,"대전광역시 서구 구봉산북로 96-90, 산림복지종합교육센터 (관저동)",,서구,언론기관부설,rule_include,"대전광역시 서구 구봉산북로 96-90, 산림복지종합교육센터 (관저동)",36.290173193061,127.333543214071,도로명원본,False
lifelong_education,한국인재육성교육개발원,"대전광역시 서구 계백로 1260, 3층(정림동)",,서구,언론기관부설,ambiguous,"대전광역시 서구 계백로 1260, 3층(정림동)",36.3069369490075,127.362898718468,도로명원본,False
lifelong_education,자이로토닉채움유성점평생교육원,"대전광역시 유성구 상대복용로29번길 9-18, 601호(상대동)",,유성구,언론기관부설,rule_include,"대전광역시 유성구 상대복용로29번길 9-18, 601호(상대동)",36.3364185844945,127.333065948489,도로명원본,False
