학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008442,종암중학교,중학교,1981-03-09,공립,본교,운영,서울특별시 성북구 종암동 32-3,서울특별시 성북구 종암로5길 80-17,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2025-10-25,37.5931109971,127.0319913159,2026-03-20
B000009749,단구중학교,중학교,2004-03-02,공립,본교,운영,강원특별자치도 원주시 단구동 1675,강원특별자치도 원주시 단구로 405,7801000,강원특별자치도교육청,7822000,강원특별자치도원주교육지원청,2013-11-29,2025-10-25,37.3208248829,127.9568666262,2026-03-20
B000007857,구만초등학교,초등학교,1932-06-11,공립,본교,운영,경상남도 고성군 구만면 효락리 621-2,경상남도 고성군 구만면 영회로 1763,9010000,경상남도교육청,9161000,경상남도고성교육지원청,2013-11-29,2025-10-25,35.0885145495,128.335541,2026-03-20
B000026779,산마루초등학교,초등학교,2016-06-01,공립,본교,운영,경기도 구리시 갈매동 575,경기도 구리시 갈매순환로 133,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-10-25,37.6316374745,127.1201526047,2026-03-20
B000002332,서울미성초등학교,초등학교,1980-04-17,공립,본교,운영,서울특별시 관악구 신림동 768-21,서울특별시 관악구 문성로 79,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2025-10-25,37.4783399695,126.912392274,2026-03-20
B000004877,교동초등학교,초등학교,1971-07-01,공립,본교,운영,강원특별자치도 원주시 명륜동 235,강원특별자치도 원주시 명륜로 9,7801000,강원특별자치도교육청,7822000,강원특별자치도원주교육지원청,2013-11-29,2025-10-25,37.3389582033,127.9470691396,2026-03-20
B000009080,명덕여자중학교,중학교,1991-03-01,공립,본교,운영,울산광역시 동구 일산동 450,울산광역시 동구 학문로 40,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2025-10-25,35.5043413609,129.4242201244,2026-03-20
B000005043,협신초등학교,초등학교,1954-04-01,공립,본교,운영,강원특별자치도 홍천군 남면 시동리 1241,강원특별자치도 홍천군 남면 시동안로 89,7801000,강원특별자치도교육청,7882000,강원특별자치도홍천교육지원청,2013-11-29,2025-10-25,37.59567064,127.8194780237,2026-03-20
B000003963,용인백현초등학교,초등학교,2006-03-01,공립,본교,운영,경기도 용인시 기흥구 동백동 600,경기도 용인시 기흥구 동백8로 108,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2025-10-25,37.28315855,127.1623937909,2026-03-20
B000013143,장성고등학교,고등학교,1985-03-01,사립,본교,운영,전라남도 장성군 장성읍 영천리 203,전라남도 장성군 장성읍 영천월산길 63,8490000,전라남도교육청,8691000,전라남도장성교육지원청,2013-11-29,2025-10-25,35.30934389,126.7981925,2026-03-20
B000004146,가사초등학교,초등학교,1958-04-01,공립,본교,운영,경기도 평택시 현덕면 권관리 2-43,경기도 평택시 현덕면 기산2길 16,7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2025-10-25,36.938494411,126.9171847249,2026-03-20
B000002945,대구용계초등학교,초등학교,1944-04-15,공립,본교,운영,대구광역시 달성군 가창면 용계리 7,대구광역시 달성군 가창면 가창로221길 1,7240000,대구광역시교육청,7281000,대구광역시달성교육지원청,2013-11-29,2025-10-25,35.8045675718,128.6216024802,2026-03-20
B000003481,구즉초등학교,초등학교,1937-06-25,공립,본교,운영,대전광역시 유성구 봉산동 796-16,대전광역시 유성구 구룡달전로 34,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.4409857088,127.3827597807,2026-03-20
B000011653,목포여자상업고등학교,고등학교,1973-03-07,사립,본교,운영,전라남도 목포시 상동 522-5,전라남도 목포시 영산로 413-3,8490000,전라남도교육청,8501000,전라남도목포교육지원청,2013-11-29,2025-10-25,34.8084165947,126.4119709695,2026-03-20
B000008616,신도중학교,중학교,1997-03-03,공립,본교,운영,부산광역시 해운대구 좌동 1345,부산광역시 해운대구 좌동순환로 50,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2025-10-25,35.17058579,129.1674405,2026-03-20
B000007608,광도초등학교,초등학교,1938-04-19,공립,본교,운영,경상남도 통영시 광도면 노산리 355-1,경상남도 통영시 광도면 노산1길 16,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2013-11-29,2025-10-25,34.9007764212,128.4060355131,2026-03-20
B000004002,상현초등학교,초등학교,2000-03-07,공립,본교,운영,경기도 용인시 수지구 상현동 53-3,경기도 용인시 수지구 만현로67번길 23,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2025-10-25,37.3088249353,127.0896819999,2026-03-20
B000010813,금호중학교,중학교,1971-12-29,공립,본교,운영,경상북도 영천시 금호읍 교대리 720,경상북도 영천시 금호읍 성천앞길 112-53,8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2026-03-09,35.9398703855,128.8782664,2026-03-20
B000004970,장성초등학교,초등학교,1938-04-22,공립,본교,운영,강원특별자치도 태백시 장성동 153-1,강원특별자치도 태백시 보드미길 26,7801000,강원특별자치도교육청,7852000,강원특별자치도태백교육지원청,2013-11-29,2025-10-25,37.1026793303,129.0057684322,2026-03-20
B000005689,오산초등학교,초등학교,1948-08-30,공립,본교,운영,충청남도 서산시 오남동 305-6,충청남도 서산시 덕지천로 436,8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,2025-10-25,36.74557169,126.4823893079,2026-03-20
B000005342,내토초등학교,초등학교,2004-09-01,공립,본교,운영,충청북도 제천시 신백동 132,충청북도 제천시 관전로 99,8000000,충청북도교육청,8031000,충청북도제천교육지원청,2013-11-29,2025-10-25,37.13423175,128.2285838273,2026-03-20
B000009454,화도중학교,중학교,1954-10-07,사립,본교,운영,경기도 화성시 마도면 석교리 212,경기도 화성시 마도면 석교로 162,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2025-10-25,37.20499973,126.7752046603,2026-03-20
B000009330,동백중학교,중학교,2006-03-01,공립,본교,운영,경기도 용인시 기흥구 동백동 578,경기도 용인시 기흥구 동백중앙로 385,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2025-10-25,37.2855822163,127.1589105269,2026-03-20
B000009130,이의중학교,중학교,2011-10-01,공립,본교,운영,경기도 수원시 영통구 하동 981,경기도 수원시 영통구 법조로 129,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-10-25,37.2913276019,127.0707668204,2026-03-20
B000005902,백화초등학교,초등학교,2004-03-01,공립,본교,운영,충청남도 태안군 태안읍 동문리 45,충청남도 태안군 태안읍 다락미1길 85,8140000,충청남도교육청,8281000,충청남도태안교육지원청,2013-11-29,2025-10-25,36.7528706167,126.3083724237,2026-03-20
B000010843,문경여자중학교,중학교,1971-03-01,공립,본교,운영,경상북도 문경시 모전동 513,경상북도 문경시 돈달로 15,8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2025-10-25,36.5956738998,128.1898857405,2026-03-20
B000011682,병영상업고등학교,고등학교,1966-03-02,공립,본교,운영,전라남도 강진군 병영면 성남리 316,전라남도 강진군 병영면 하멜로 372,8490000,전라남도교육청,8631000,전라남도강진교육지원청,2013-11-29,2025-10-25,34.7131424503,126.8136156,2026-03-20
B000007321,유천초등학교,초등학교,1929-09-02,공립,본교,운영,경상북도 청도군 청도읍 유호리 623,경상북도 청도군 청도읍 유천강변길 68,8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2025-10-25,35.5730692068,128.7657884073,2026-03-20
B000022924,계룡중학교,중학교,2006-03-01,공립,본교,운영,충청남도 계룡시 금암동 75-1,충청남도 계룡시 서금암5길 17,8140000,충청남도교육청,8222000,충청남도논산계룡교육지원청,2013-11-29,2025-10-25,36.267558678,127.2551156418,2026-03-20
B000007577,동진초등학교,초등학교,1986-04-30,공립,본교,운영,경상남도 진주시 하대동 119-1,경상남도 진주시 도동로184번길 13,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2025-10-25,35.1877991053,128.1245507763,2026-03-20
B000012853,서원고등학교,고등학교,2003-04-23,공립,본교,운영,충청북도 청주시 흥덕구 가경동 1580,충청북도 청주시 흥덕구 가경로 49,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2025-10-25,36.6200817782,127.4410388,2026-03-20
B000004930,운산초등학교,초등학교,1949-01-31,공립,분교,운영,강원특별자치도 강릉시 운산동 148,강원특별자치도 강릉시 운산길 79-15,7801000,강원특별자치도교육청,7832000,강원특별자치도강릉교육지원청,2013-11-29,2025-10-25,37.7297797049,128.9375870782,2026-03-20
B000022540,고양중학교,중학교,1938-01-10,공립,본교,운영,경기도 고양시 덕양구 삼송동 322,경기도 고양시 덕양구 동세로 82,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-10-25,37.64960904,126.8845811428,2026-03-20
B000006613,녹동초등학교,초등학교,1941-03-31,공립,본교,운영,전라남도 고흥군 도양읍 봉암리 1553-1,전라남도 고흥군 도양읍 천마로 83,8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2013-11-29,2025-10-25,34.5295774203,127.1398098271,2026-03-20
B000013414,거창여자고등학교,고등학교,1960-04-01,공립,본교,운영,경상남도 거창군 거창읍 중앙리 445,경상남도 거창군 거창읍 죽전1길 72,9010000,경상남도교육청,9211000,경상남도거창교육지원청,2013-11-29,2025-10-25,35.6927494165,127.9088876,2026-03-20
B000013204,구미고등학교,고등학교,1979-11-21,공립,본교,운영,경상북도 구미시 도량동 600,경상북도 구미시 문장로 42,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2025-10-25,36.1377773627,128.332716207,2026-03-20
B000004064,내손초등학교,초등학교,1989-09-01,공립,본교,운영,경기도 의왕시 내손동 849-1,경기도 의왕시 내손순환로 175,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-10-25,37.3888489817,126.9819813034,2026-03-20
B000023136,고운고등학교,고등학교,2015-03-01,공립,본교,운영,세종특별자치시 고운동 1415,세종특별자치시 마음안로 93,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2025-10-25,36.51022904,127.2330779,2026-03-20
B000003230,각화초등학교,초등학교,1990-03-01,공립,본교,운영,광주광역시 북구 각화동 215,광주광역시 북구 각화대로39번길 10,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2013-11-29,2025-10-25,35.1824265066,126.9357418567,2026-03-20
B000005312,대미초등학교,초등학교,1959-04-04,공립,본교,운영,충청북도 충주시 동량면 대전리 1518,충청북도 충주시 동량면 대미길 62,8000000,충청북도교육청,8021000,충청북도충주교육지원청,2013-11-29,2025-10-25,37.03388364,127.929558,2026-03-20
B000023830,강동고등학교,고등학교,2020-03-01,공립,본교,운영,울산광역시 북구 산하동 993,울산광역시 북구 화암4길 8,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2025-10-25,35.6324698236,129.4351502637,2026-03-20
B000006984,옥산초등학교,초등학교,1907-10-04,공립,본교,운영,경상북도 경주시 안강읍 옥산리 1116,경상북도 경주시 안강읍 낙헌2길 48,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2025-10-25,35.9953331029,129.1697130363,2026-03-20
B000011541,경민비즈니스고등학교,고등학교,1974-01-07,사립,본교,운영,경기도 의정부시 가능동 562-1,경기도 의정부시 서부로 545,7530000,경기도교육청,7561000,경기도의정부교육지원청,2013-11-29,2025-10-25,37.7461245835,127.0251316197,2026-03-20
B000011678,전남기술과학고등학교,고등학교,1979-03-16,공립,본교,운영,전라남도 화순군 화순읍 신기리 60,전라남도 화순군 화순읍 만연로 160-25,8490000,전라남도교육청,8611000,전라남도화순교육지원청,2013-11-29,2025-10-25,35.07198494,126.9919092,2026-03-20
B000003206,살레시오초등학교,초등학교,1963-03-09,사립,본교,운영,광주광역시 서구 매월동 525-3,광주광역시 서구 전평길 40-1,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2025-10-25,35.1184961885,126.8504586739,2026-03-20
B000001872,서울신묵초등학교,초등학교,1984-12-05,공립,본교,운영,서울특별시 중랑구 묵동 246-12,서울특별시 중랑구 동일로149길 46,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2025-10-25,37.6065228487,127.0758358327,2026-03-20
B000010987,합포중학교,중학교,1986-03-05,공립,본교,운영,경상남도 창원시 마산합포구 산호동 117-7,경상남도 창원시 마산합포구 산호남10길 18,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2025-10-25,35.2157898669,128.5853701538,2026-03-20
B000002343,서울관악초등학교,초등학교,1971-12-04,공립,본교,운영,서울특별시 관악구 봉천동 920,서울특별시 관악구 청룡4길 49,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2025-10-25,37.4810256509,126.9425544903,2026-03-20
B000006874,장산초등학교,초등학교,1932-05-06,공립,본교,운영,전라남도 신안군 장산면 대리 93-1,전라남도 신안군 장산면 장산로 277,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,2025-10-25,34.638160108,126.144208463,2026-03-20
B000007694,수남초등학교,초등학교,1948-03-25,공립,본교,운영,경상남도 김해시 율하동 1395,경상남도 김해시 율하2로 183,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2025-10-25,35.1706200119,128.8189478145,2026-03-20
B000002194,서울양명초등학교,초등학교,1983-03-02,공립,본교,운영,서울특별시 양천구 신정동 310-6,서울특별시 양천구 중앙로 204,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2025-10-25,37.5163749515,126.8566348687,2026-03-20
