학교명,SAI_before,SAI_after,공동수업과목수,공동수업참여가능,SAI_delta,algorithm
청란여자고등학교,86.84337716083385,88.9759850140816,5,보문고등학교:진로·융합(3.0km); 호수돈여자고등학교:제2외국어·국제(2.2km); 보문고등학교:정보·AI(3.0km); 대전동산고등학교:예체능(2.3km); 대전동산고등학교:인문·사회(2.3km),2.132607853247748,greedy_baseline
대전용산고등학교,84.77782738475582,86.73004923450438,2,대전용산고등학교:정보·AI(0.0km); 대전용산고등학교:진로·융합(0.0km),1.952221849748554,greedy_baseline
명석고등학교,85.94255247833516,87.66888082225503,3,보문고등학교:진로·융합(3.2km); 호수돈여자고등학교:제2외국어·국제(4.6km); 보문고등학교:정보·AI(3.2km),1.7263283439198744,greedy_baseline
대전구봉고등학교,77.71177976260202,79.04540285407731,3,서일여자고등학교:제2외국어·국제(0.7km); 대전관저고등학교:정보·AI(1.8km); 서대전여자고등학교:자연·공학(5.0km),1.333623091475289,greedy_baseline
대전도안고등학교,77.01445411444517,78.30550835575549,3,서일여자고등학교:제2외국어·국제(4.9km); 대전관저고등학교:정보·AI(2.9km); 서대전여자고등학교:자연·공학(3.1km),1.29105424131032,greedy_baseline
동방고등학교,84.72697741366652,85.98992573578747,3,서일여자고등학교:제2외국어·국제(2.1km); 대전관저고등학교:정보·AI(1.4km); 서대전여자고등학교:자연·공학(3.7km),1.2629483221209483,greedy_baseline
대전관저고등학교,78.15437614397163,79.39386468096079,3,서일여자고등학교:제2외국어·국제(2.2km); 대전관저고등학교:정보·AI(0.0km); 서대전여자고등학교:자연·공학(3.4km),1.2394885369891568,greedy_baseline
유성고등학교,88.8478605935543,89.62592806598823,2,대전관저고등학교:정보·AI(4.3km); 서대전여자고등학교:자연·공학(3.9km),0.778067472433932,greedy_baseline
대전만년고등학교,76.02388625975068,76.07862497397434,1,서대전여자고등학교:자연·공학(4.4km),0.05473871422366017,greedy_baseline
서대전고등학교,76.40173041117525,76.40926943210827,1,서대전여자고등학교:자연·공학(3.6km),0.007539020933023721,greedy_baseline
대전반석고등학교,83.773850545737,83.773850545737,0,,0.0,greedy_baseline
대전지족고등학교,78.74647883938047,78.74647883938047,0,,0.0,greedy_baseline
유성여자고등학교,87.21694962479796,87.21694962479796,0,,0.0,greedy_baseline
