subject,standard_subject,domain,method,ignored,ignore_reason
한국무용5,한국무용5,예체능,rule,False,
한국무용기초실기,한국무용기초실기,예체능,rule,False,
한국사,한국사,인문·사회,rule,False,
한국사회의이해,한국사회의이해,인문·사회,rule,False,
한국지리,한국지리,인문·사회,rule,False,
한국지리_한국지리2-4,한국지리_한국지,인문·사회,rule,False,
한문1,한문1,제2외국어·국제,rule,False,
한문2,한문2,제2외국어·국제,rule,False,
합창‧합주2,합창‧합주2,예체능,rule,False,
해금4,해금4,예체능,rule,False,
해금5,해금5,예체능,rule,False,
현대무용2,현대무용2,예체능,rule,False,
현대무용3,현대무용3,예체능,rule,False,
현대무용4,현대무용4,예체능,rule,False,
현대무용5,현대무용5,예체능,rule,False,
현대무용기초실기,현대무용기초실기,예체능,rule,False,
현대문학감상,현대문학감상,인문·사회,rule,False,
현대세계의변화,현대세계의변화,인문·사회,override,False,
현악2,현악2,예체능,rule,False,
현악3,현악3,예체능,rule,False,
화법과작문,화법과작문,인문·사회,rule,False,
화학1,화학1,자연·공학,dict,False,
화학1_화학12-7,화학1_화,자연·공학,rule,False,
화학2,화학2,자연·공학,rule,False,
화학2_화학23-6,화학2_화,자연·공학,rule,False,
화학실험,화학실험,자연·공학,rule,False,
확률과통계,확률과통계,자연·공학,rule,False,
환경,환경,자연·공학,rule,False,
환경B토의2,환경,자연·공학,override,False,
후마니타스:인간의가치탐색,후마니타스:인간의가치탐색,인문·사회,rule,False,
